Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2020-11-19,Opening Price,224.300003,1Y
Goldman Sachs,GS,2020-11-20,Opening Price,223,1Y
Goldman Sachs,GS,2020-11-23,Opening Price,226.059998,1Y
Goldman Sachs,GS,2020-11-24,Opening Price,231.100006,1Y
Goldman Sachs,GS,2020-11-25,Opening Price,235,1Y
Goldman Sachs,GS,2020-11-27,Opening Price,237,1Y
Goldman Sachs,GS,2020-11-30,Opening Price,232.050003,1Y
Goldman Sachs,GS,2020-12-01,Opening Price,231.960007,1Y
Goldman Sachs,GS,2020-12-02,Opening Price,232.080002,1Y
Goldman Sachs,GS,2020-12-03,Opening Price,237.289993,1Y
Goldman Sachs,GS,2020-12-04,Opening Price,237.699997,1Y
Goldman Sachs,GS,2020-12-07,Opening Price,238.539993,1Y
Goldman Sachs,GS,2020-12-08,Opening Price,237.009995,1Y
Goldman Sachs,GS,2020-12-09,Opening Price,240,1Y
Goldman Sachs,GS,2020-12-10,Opening Price,240,1Y
Goldman Sachs,GS,2020-12-11,Opening Price,240.809998,1Y
Goldman Sachs,GS,2020-12-14,Opening Price,243.279999,1Y
Goldman Sachs,GS,2020-12-15,Opening Price,239.5,1Y
Goldman Sachs,GS,2020-12-16,Opening Price,243.559998,1Y
Goldman Sachs,GS,2020-12-17,Opening Price,245,1Y
Goldman Sachs,GS,2020-12-18,Opening Price,245.389999,1Y
Goldman Sachs,GS,2020-12-21,Opening Price,250.289993,1Y
Goldman Sachs,GS,2020-12-22,Opening Price,256.859985,1Y
Goldman Sachs,GS,2020-12-23,Opening Price,251.5,1Y
Goldman Sachs,GS,2020-12-24,Opening Price,257.040009,1Y
Goldman Sachs,GS,2020-12-28,Opening Price,257.809998,1Y
Goldman Sachs,GS,2020-12-29,Opening Price,260.26001,1Y
Goldman Sachs,GS,2020-12-30,Opening Price,258.809998,1Y
Goldman Sachs,GS,2020-12-31,Opening Price,258.799988,1Y
Goldman Sachs,GS,2021-01-04,Opening Price,267,1Y
Goldman Sachs,GS,2021-01-05,Opening Price,263.880005,1Y
Goldman Sachs,GS,2021-01-06,Opening Price,276.290009,1Y
Goldman Sachs,GS,2021-01-07,Opening Price,287.769989,1Y
Goldman Sachs,GS,2021-01-08,Opening Price,292,1Y
Goldman Sachs,GS,2021-01-11,Opening Price,286.799988,1Y
Goldman Sachs,GS,2021-01-12,Opening Price,297.140015,1Y
